sets,hand_size,deals,hand_type,count
15,21,15,ascending,12
7,18,16,descending,635
3,12,2,ascending,341038685635
11,15,6,ascending,86395
11,15,9,ascending,84522
13,12,15,ascending,89333
4,15,15,descending,115390546
9,18,22,descending,16
13,18,20,ascending,15027
7,15,2,descending,262161
8,21,16,ascending,11255
3,15,2,descending,119515722
12,12,10,ascending,422537
0,18,2,ascending,19938
7,15,17,ascending,1433129768
13,15,14,ascending,149
6,21,17,ascending,5977
3,12,15,descending,6633604019
11,21,15,ascending,1560
11,15,17,ascending,82181
9,18,11,ascending,23966927
2,15,20,descending,365611550
1,18,9,ascending,2346683
10,15,10,ascending,2089182
8,12,2,ascending,451503644
8,18,17,descending,109
3,12,6,descending,6546444347
4,21,23,ascending,205
1,12,4,ascending,250355242811
2,12,22,ascending,379373982161
5,12,18,descending,109497108
6,12,15,ascending,16792732401
8,15,20,descending,35246
3,18,6,descending,9497
7,18,3,descending,291
4,21,18,ascending,112
14,21,20,ascending,35
9,12,1,ascending,91086845
3,12,0,ascending,381790151880
8,18,11,ascending,69430758
8,21,4,ascending,7911
10,12,16,ascending,12151062
5,15,11,descending,31187393
6,12,22,ascending,16670207882
12,12,18,ascending,398461
8,12,23,ascending,618229677
11,12,11,ascending,836892
9,18,11,descending,15
15,21,6,ascending,4
11,18,11,descending,1
10,18,21,ascending,6235722
15,21,22,ascending,7
8,12,3,ascending,413679792
12,21,20,ascending,487
2,18,2,ascending,13607731
0,18,15,descending,119
15,21,7,ascending,7
15,21,11,ascending,6
9,15,2,ascending,23959824
1,18,16,descending,1378
7,18,8,descending,565
4,12,5,ascending,186323644649
11,15,12,ascending,82623
2,15,13,descending,355407245
9,18,15,ascending,24315269
11,12,7,ascending,883714
5,21,8,ascending,1138
8,21,19,ascending,11559
10,15,5,ascending,2138532
8,15,5,ascending,266893249
6,15,1,ascending,2375507220
0,12,18,ascending,68469515197
4,18,8,descending,11369
13,12,12,ascending,91843
1,18,19,ascending,2617446
1,12,1,descending,17925403659
4,12,3,ascending,189078953419
3,12,20,descending,6656538410
3,18,18,descending,11597
14,21,11,ascending,27
2,15,2,ascending,14631504283
1,18,17,ascending,2594113
8,21,13,ascending,10921
0,15,2,descending,31734956
